Channel Name,Channel URL,Subscribers,Sample Video URL,Sample Video Title
"Woodsbound Outdoors","https://www.youtube.com/channel/UCHUbS_UKnPBjJndXpTff4Sg",2840000,"https://www.youtube.com/watch?v=BFheNvvJGoQ","20+ Wilderness Survival Tips and Bushcraft Self Reliance Skills"
"Exploring Alternatives","https://www.youtube.com/channel/UC8EQAfueDGNeqb1ALm0LjHA",2580000,"https://www.youtube.com/watch?v=NV-ScHmOia4","Self-Sufficient Man Built an Off-Grid Tiny House Homestead & Lives on a Minimal Budget"
"Self Sufficient Me","https://www.youtube.com/channel/UCJZTjBlrnDHYmf0F-eYXA3Q",2480000,"https://www.youtube.com/watch?v=pd0AklR4Mug","5 Ways to QUICKLY become More Self Sufficient"
"TA Outdoors","https://www.youtube.com/channel/UC2SMpy2oZV6BoyJEYShw9bw",2470000,"https://www.youtube.com/watch?v=xxVqXdCWL7c","100+ Wilderness Survival Tips: THE MOVIE"
"My Self Reliance","https://www.youtube.com/channel/UCIMXKin1fXXCeq2UJePJEog",2220000,"https://www.youtube.com/watch?v=yUGLNPAnukc","Putting our Permaculture Orchard to Bed for the Winter"
"Kirsten Dirksen","https://www.youtube.com/channel/UCDsElQQt_gCZ9LgnW-7v-cQ",2070000,"https://www.youtube.com/watch?v=XDpZ4jED6zA","30 years self-reliant: family $10K/year homestead & dugout"
"City Prepping","https://www.youtube.com/channel/UCmb2QRAjdnkse21CtxAQ-cA",1230000,"https://www.youtube.com/watch?v=LqCX80kpGc4","The Coming Grid Collapse In 2026: What You Should Know"
"Ovens Rocky Mountain Bushcraft","https://www.youtube.com/channel/UC4jxd-47X7mnekLfxbsAuew",1010000,"https://www.youtube.com/watch?v=seLwyDN2wpQ","10 KILLER Survival Fails"
"Austrian Knife Guy","https://www.youtube.com/channel/UCM-OUiiSxPOELCMQhiMWujg",982000,"https://www.youtube.com/watch?v=b_TEYvg9QDM","20 Wilderness Survival Tips in 6 Minutes"
"SensiblePrepper","https://www.youtube.com/channel/UCzYMTUy7uWCfaoBX0tPJE5A",895000,"https://www.youtube.com/watch?v=Krw3tMsDbTs","Building a Survival Library: Recommended Books"
"Vanwives","https://www.youtube.com/channel/UCtf6aq_atnqF6shEam6m1sQ",672000,"https://www.youtube.com/watch?v=gzrNxolSilk","Raw, Unfiltered, OFF-GRID LIVING: Inside Look at What You Don’t See"
"SIKANA English","https://www.youtube.com/channel/UCVCJ4qLnnBNxVB8pb65MdjQ",556000,"https://www.youtube.com/watch?v=BLEPakj1YTY","How to Protect Yourself During an Earthquake | Disasters"
"Survival Dispatch","https://www.youtube.com/channel/UCwxUni1_D2E_MTilwUmGCeg",444000,"https://www.youtube.com/watch?v=25ShyuMa08k","How to Build a Library for SHTF |  TJack Survival"
"BUSHCRAFT TOOLS","https://www.youtube.com/channel/UCceqY2OFi6ve30FPO3owhCw",351000,"https://www.youtube.com/watch?v=SSitRqKIt48","50 Survival Tips - Food | Fire | Shelter | Water - Wilderness knowledge you should know"
"Brass Facts","https://www.youtube.com/channel/UCloY8U8fMVfKp39FCqyCFVw",194000,"https://www.youtube.com/watch?v=yDgo_ff36QE","Sustainable SHTF Preparedness"
"Magic Prepper","https://www.youtube.com/channel/UCMPFWjkjgnRPqvg95Gj3qtQ",191000,"https://www.youtube.com/watch?v=Nodizd56Omk","Bare Minimum Prepping Items for Each Preparedness Category"
"Reliable Prepper","https://www.youtube.com/channel/UCcFrHt7olCp5Jy9RYnoNOTw",113000,"https://www.youtube.com/watch?v=KxAeSamKzcU","Grid Down Chaos: Surviving Civil Unrest and Foreign Threats"
"The Young Elder","https://www.youtube.com/channel/UC1b-YKYdvzKuopdY095r3Vw",88900,"https://www.youtube.com/watch?v=aeWv9COfbf4","How to Survive a Massive Blackout in the USA: 90 Days in the Dark"
"The Idaho Prepper","https://www.youtube.com/channel/UCe8ppBlyWuMnBjVDqcqkNuQ",84000,"https://www.youtube.com/watch?v=GT2_E5TBFJA","Bugging In & Preparing Your Home For Civil Unrest! Basic Steps To Prepare For SHTF!"
"Zach Of All Trades","https://www.youtube.com/channel/UCMvfq8cJF4koBwoPecrf_zQ",76100,"https://www.youtube.com/watch?v=LHKkDFY4AH8","7 Things to Do in the First Hour of a Blackout (BLACKOUT SURVIVAL)"
"Great Lakes Country","https://www.youtube.com/channel/UCgdqQaSK8_OPflrvaF6rCMw",74700,"https://www.youtube.com/watch?v=mB58V0BzvK8","Starting an Off-Grid Digital Survival and Prepper Library"
"The Bug Out Location","https://www.youtube.com/channel/UCgexv0zlYzl_Q0otBfb6TXg",72600,"https://www.youtube.com/watch?v=Fq1tHdp9D5o","Grid Down Survival: How Long Would Your Power Really Last?"
"The Land of Slow Living ","https://www.youtube.com/channel/UCrk1YQBzZIYUSuxuziFDvSQ",34400,"https://www.youtube.com/watch?v=QyNJSsuFUas","Is a self-sufficient way of living worth it? 5 years into homesteading"
"Tiny Haus Life","https://www.youtube.com/channel/UCfnIX8dOF2WB_hw1sNVfoBg",22900,"https://www.youtube.com/watch?v=yjVKgN8PktM","79 Acres for Off-Grid Tiny Home LIVING in Michigan Wilderness"
"Mike Tango Whiskey","https://www.youtube.com/channel/UCYfozK_NJM9H3GmU9O5mfGg",21300,"https://www.youtube.com/watch?v=qGGuwgs-p-c","Stop Prepping for SHTF - Do This Instead…"
"Harsh Survival","https://www.youtube.com/channel/UC1Z04a6jw0mUYCZGW55Zwrw",19900,"https://www.youtube.com/watch?v=EFk7l_8lAI8","Surviving a -70°C Blizzard in a Motorbike Camper | Off Grid Life in Deep Snow"
"A Small Town Prepper","https://www.youtube.com/channel/UCI2JnNZV08VOm_KH7e_7x7Q",16400,"https://www.youtube.com/watch?v=mBELXCr7wlw","The Prepper Blacklist: Items They Don’t Want You Buying"
"UK Urban Prepper","https://www.youtube.com/channel/UCrfvfab0JiuZqClRt2K5jrw",11900,"https://www.youtube.com/watch?v=OE9z_8jp958","#RED64 Data Survival Library order in comments. #Prepper #ukpreppers"
"Bushcraft Farm","https://www.youtube.com/channel/UCoJwspKZFcG_DmM2qhVUD0Q",11700,"https://www.youtube.com/watch?v=UUpnk3FXJZ0","How to Build a Water Wheel for a Hydroelectric Generator | Off-Grid Living Deep in the Forest"
"Prepping Point","https://www.youtube.com/channel/UCj9ADBKRm4uhzgJFDGyAssA",7850,"https://www.youtube.com/watch?v=vl9lXWQki5M","Collapse Survival: Finding Water When It’s Gone"
"Bushcraft Life","https://www.youtube.com/channel/UCGebTe4d9reErUyAUG8-jEg",3600,"https://www.youtube.com/watch?v=A1zxsJUM7EA","Winter 38℃ Survival Cabin — Living Off Grid in a Snow Covered Forest"
"AlertMedia","https://www.youtube.com/channel/UCdRE5y1yWukAPkoNBRTPK4A",3350,"https://www.youtube.com/watch?v=nVR8qr2ivOg","How to Conduct a Tabletop Exercise for Better Emergency Response"
"preparedya","https://www.youtube.com/channel/UCedPwpcreUaB87XRahhobOw",3010,"https://www.youtube.com/watch?v=zMj_DFqaJno","Survive a 90 Day Blackout Essential Prepper Tips!"
"American Hospital Association","https://www.youtube.com/channel/UC4D02WtzbawS64WfQ3UrZ6g",2470,"https://www.youtube.com/watch?v=1JU0qAu52mE","The CLEAR Field Guide for Emergency Preparedness"
"American PREPPER","https://www.youtube.com/channel/UCSMUcOpzg9Y1IsBZ16BE_zg",2080,"https://www.youtube.com/watch?v=YmLDicxi2iY","How to Survive the First 90 Days After the Blackout Collapse"
"MICHAEL WAYNE FOSTER","https://www.youtube.com/channel/UC3eQLQsoSsAFXvr_uDB-KxQ",1770,"https://www.youtube.com/watch?v=5zRMVJLf_PM","Collapse Survival: Food Supply, Cities, & The Future #shorts"
"Healthier Workforce Center","https://www.youtube.com/channel/UCYr5AwvlsYS7SxhNoXcdm-A",1480,"https://www.youtube.com/watch?v=pXkOscAY8zk","An Introduction to Emergency Preparedness"
"Phi Sigma Pi National Honor Fraternity","https://www.youtube.com/channel/UCmgS7SgTXDAjIqC27cqoSdQ",590,"https://www.youtube.com/watch?v=ylp0GlKurG8","Emergency Preparedness"
